"ID","ID Cliente","ID Orden","Fecha Creación","ID Creador","Estado","Fecha Cambio Estado","ID Cambiador","Mensaje","Observación Estado","Condiciones"
"6239","65","336761","31/10/2025 15:55:37","390","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta"
"6238","196","336556","30/10/2025 21:09:57","502","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización de SUMINISTRO E INSTALACION.

SEDE: IPS ALAMEDA
AVISO: 2055251
ODS: 336556
EQUIPO: Cavitrón con serial 130-18386.

se realiza mantenimiento correctivo y se evidencia pedal en muy mal estado, se encuentra pedal dañado, se requiere cambio de pedal,
","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
El tiempo estimado de entrega de repuestos es de 3 días hábiles, después de su aprobación.
El tiempo estimado para programación de instalación es de 2 días hábiles.
La garantía después de la instalación es de 90 días
Forma de pago 60 días

Nota: En caso de superar el periodo de vigencia de esta cotización, no se garantiza la disponibilidad de los
repuestos, ni la conservación de los precios y tiempos de entrega estimados. Además, cualquier falla adicional que
se presente en el equipo durante este lapso podrá estar asociada a un cambio no oportuno de los repuestos.
"
"6237","196","336557","30/10/2025 15:23:38","502","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización de SUMINISTRO E INSTALACION.

SEDE: IPS ALAMEDA
AVISO: 2055252
ODS: 336557
EQUIPO: Unidad Odontológica CONSULTORIO  8

Se realiza visita para mantenimiento correctivo, se verifica reporte del personal, se evidencia escupidera en muy mal estado, se evidencian varias fracturas en la estructura de la escupidera, se evidencia fractura en la base de la escupidera en la parte donde se sujetan los holders de las eyectoras, se requiere cambio de escupidera completa y cambio de soporte para holders,
","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
El tiempo estimado de entrega de repuestos es de 3 días hábiles, después de su aprobación.
El tiempo estimado para programación de instalación es de 2 días hábiles.
La garantía después de la instalación es de 90 días
Forma de pago 60 días

Nota: En caso de superar el periodo de vigencia de esta cotización, no se garantiza la disponibilidad de los
repuestos, ni la conservación de los precios y tiempos de entrega estimados. Además, cualquier falla adicional que
se presente en el equipo durante este lapso podrá estar asociada a un cambio no oportuno de los repuestos.
"
"6236","64","336324","29/10/2025 20:48:18","454","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización del aviso 10558766 ","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta"
"6235","64","336329","29/10/2025 20:41:19","454","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización del aviso 10558791 ","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta "
"6234","64","336505","29/10/2025 16:19:31","377","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
La entrega de repuestos sera de 15 a 30 dias despues de su aprobacion  "
"6233","64","336514","29/10/2025 15:24:58","377","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
La entrega de repuestos sera de 5 a 15 dias despues de su aprobacion "
"6232","64","336267","29/10/2025 15:22:06","377","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
La entrega de repuestos sera de 15 a 20 dias despues de su aprobacion "
"6231","64","336579","29/10/2025 15:16:57","377","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
La entrega de repuestos sera de 10 a 15 dias despues de su aprobacion "
"6230","64","338377","28/10/2025 19:55:35","377","Aprobada","28/10/2025 21:09:21","377","De acuerdo a la solicitud se realiza la siguiente cotización","APROBADO ","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
La entrega de repuestos sera inmediata despues de su aprobacion "
"6229","64","336504","28/10/2025 18:13:05","377","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta
La entrega de repuestos sera de 10 a 20 despues de su aprobacion "
"6228","196","336586","28/10/2025 17:41:23","502","Pendiente","","","De acuerdo a la solicitud se realiza la siguiente cotización","","La vigencia de esta cotización es de 30 días una vez aprobada la propuesta"
